PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Title,FamilySize,IsAlone,TicketGroupSize,FarePerPerson,CabinKnown,Deck,OutlierReason
610,1,1,"Shutes, Miss. Elizabeth W",female,40.0,0,0,PC 17582,153.4625,C125,S,Miss,1,1,3,51.15416666666667,1,C,Fare
660,0,1,"Newell, Mr. Arthur Webster",male,58.0,0,2,35273,113.275,D48,C,Mr,3,0,3,37.75833333333333,1,D,Fare
661,1,1,"Frauenthal, Dr. Henry William",male,50.0,2,0,PC 17611,133.65,,S,Rare,3,0,2,66.825,0,Unknown,Fare
680,1,1,"Cardeza, Mr. Thomas Drake Martinez",male,36.0,0,1,PC 17755,512.3292,B51 B53 B55,C,Mr,2,0,3,170.7764,1,B,Fare
690,1,1,"Madill, Miss. Georgette Alexandra",female,15.0,0,1,24160,211.3375,B5,S,Miss,2,0,3,70.44583333333334,1,B,Fare
699,0,1,"Thayer, Mr. John Borland",male,49.0,1,1,17421,110.8833,C68,C,Mr,3,0,4,27.720825,1,C,Fare
701,1,1,"Astor, Mrs. John Jacob (Madeleine Talmadge Force)",female,18.0,1,0,PC 17757,227.525,C62 C64,C,Mrs,2,0,4,56.88125,1,C,Fare
709,1,1,"Cleaver, Miss. Alice",female,22.0,0,0,113781,151.55,,S,Miss,1,1,4,37.8875,0,Unknown,Fare
717,1,1,"Endres, Miss. Caroline Louise",female,38.0,0,0,PC 17757,227.525,C45,C,Miss,1,1,4,56.88125,1,C,Fare
731,1,1,"Allen, Miss. Elisabeth Walton",female,29.0,0,0,24160,211.3375,B5,S,Miss,1,1,3,70.44583333333334,1,B,Fare
738,1,1,"Lesurer, Mr. Gustave J",male,35.0,0,0,PC 17755,512.3292,B101,C,Mr,1,1,3,170.7764,1,B,Fare
743,1,1,"Ryerson, Miss. Susan Parker ""Suzette""",female,21.0,2,2,PC 17608,262.375,B57 B59 B63 B66,C,Miss,5,0,2,131.1875,1,B,Fare
764,1,1,"Carter, Mrs. William Ernest (Lucile Polk)",female,36.0,1,2,113760,120.0,B96 B98,S,Mrs,4,0,4,30.0,1,B,Fare
780,1,1,"Robert, Mrs. Edward Scott (Elisabeth Walton McMillan)",female,43.0,0,1,24160,211.3375,B3,S,Mrs,2,0,3,70.44583333333334,1,B,Fare
803,1,1,"Carter, Master. William Thornton II",male,11.0,1,2,113760,120.0,B96 B98,S,Master,4,0,4,30.0,1,B,Fare
857,1,1,"Wick, Mrs. George Dennick (Mary Hitchcock)",female,45.0,1,1,36928,164.8667,,S,Mrs,3,0,2,82.43335,0,Unknown,Fare
