PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Title,Deck,CabinKnown,FamilySize,IsAlone,TicketGroupSize,FarePerPerson
37,1,3,male,26.0,0,0,7.2292,C,Mr,Unknown,0,1,1,1,7.2292
38,0,3,male,21.0,0,0,8.05,S,Mr,Unknown,0,1,1,1,8.05
39,0,3,female,18.0,2,0,18.0,S,Miss,Unknown,0,3,0,2,9.0
40,1,3,female,14.0,1,0,11.2417,C,Miss,Unknown,0,2,0,2,5.62085
41,0,3,female,40.0,1,0,9.475,S,Mrs,Unknown,0,2,0,1,9.475
42,0,2,female,27.0,1,0,21.0,S,Mrs,Unknown,0,2,0,2,10.5
43,0,3,male,26.0,0,0,7.8958,C,Mr,Unknown,0,1,1,1,7.8958
44,1,2,female,3.0,1,2,41.5792,C,Miss,Unknown,0,4,0,3,13.859733333333333
45,1,3,female,19.0,0,0,7.8792,Q,Miss,Unknown,0,1,1,1,7.8792
46,0,3,male,26.0,0,0,8.05,S,Mr,Unknown,0,1,1,1,8.05
47,0,3,male,26.0,1,0,15.5,Q,Mr,Unknown,0,2,0,1,15.5
48,1,3,female,18.0,0,0,7.75,Q,Miss,Unknown,0,1,1,1,7.75
49,0,3,male,26.0,2,0,21.6792,C,Mr,Unknown,0,3,0,1,21.6792
50,0,3,female,18.0,1,0,17.8,S,Mrs,Unknown,0,2,0,2,8.9
51,0,3,male,7.0,4,1,39.6875,S,Master,Unknown,0,6,0,6,6.614583333333333
52,0,3,male,21.0,0,0,7.8,S,Mr,Unknown,0,1,1,1,7.8
53,1,1,female,49.0,1,0,76.7292,C,Mrs,D,1,2,0,3,25.576400000000003
54,1,2,female,29.0,1,0,26.0,S,Mrs,Unknown,0,2,0,1,26.0
55,0,1,male,65.0,0,1,61.9792,C,Mr,B,1,2,0,1,61.9792
56,1,1,male,40.0,0,0,35.5,S,Mr,C,1,1,1,1,35.5
57,1,2,female,21.0,0,0,10.5,S,Miss,Unknown,0,1,1,1,10.5
58,0,3,male,28.5,0,0,7.2292,C,Mr,Unknown,0,1,1,1,7.2292
59,1,2,female,5.0,1,2,27.75,S,Miss,Unknown,0,4,0,3,9.25
60,0,3,male,11.0,5,2,46.9,S,Master,Unknown,0,8,0,6,7.816666666666666
61,0,3,male,22.0,0,0,7.2292,C,Mr,Unknown,0,1,1,1,7.2292
62,1,1,female,38.0,0,0,80.0,S,Miss,B,1,1,1,2,40.0
63,0,1,male,45.0,1,0,83.475,S,Mr,C,1,2,0,2,41.7375
64,0,3,male,4.0,3,2,27.9,S,Master,Unknown,0,6,0,6,4.6499999999999995
65,0,1,male,40.0,0,0,27.7208,C,Mr,Unknown,0,1,1,1,27.7208
66,1,3,male,4.0,1,1,15.2458,C,Master,Unknown,0,3,0,2,7.6229
67,1,2,female,29.0,0,0,10.5,S,Mrs,F,1,1,1,1,10.5
68,0,3,male,19.0,0,0,8.1583,S,Mr,Unknown,0,1,1,1,8.1583
69,1,3,female,17.0,4,2,7.925,S,Miss,Unknown,0,7,0,1,7.925
70,0,3,male,26.0,2,0,8.6625,S,Mr,Unknown,0,3,0,1,8.6625
71,0,2,male,32.0,0,0,10.5,S,Mr,Unknown,0,1,1,1,10.5
72,0,3,female,16.0,5,2,46.9,S,Miss,Unknown,0,8,0,6,7.816666666666666
73,0,2,male,21.0,0,0,73.5,S,Mr,Unknown,0,1,1,5,14.7
74,0,3,male,26.0,1,0,14.4542,C,Mr,Unknown,0,2,0,1,14.4542
75,1,3,male,32.0,0,0,56.4958,S,Mr,Unknown,0,1,1,7,8.070828571428573
76,0,3,male,25.0,0,0,7.65,S,Mr,F,1,1,1,1,7.65
77,0,3,male,26.0,0,0,7.8958,S,Mr,Unknown,0,1,1,1,7.8958
78,0,3,male,26.0,0,0,8.05,S,Mr,Unknown,0,1,1,1,8.05
79,1,2,male,0.83,0,2,29.0,S,Master,Unknown,0,3,0,2,14.5
80,1,3,female,30.0,0,0,12.475,S,Miss,Unknown,0,1,1,2,6.2375
81,0,3,male,22.0,0,0,9.0,S,Mr,Unknown,0,1,1,1,9.0
82,1,3,male,29.0,0,0,9.5,S,Mr,Unknown,0,1,1,1,9.5
83,1,3,female,18.0,0,0,7.7875,Q,Miss,Unknown,0,1,1,1,7.7875
84,0,1,male,28.0,0,0,47.1,S,Mr,Unknown,0,1,1,1,47.1
85,1,2,female,17.0,0,0,10.5,S,Miss,Unknown,0,1,1,1,10.5
86,1,3,female,33.0,3,0,15.85,S,Mrs,Unknown,0,4,0,2,7.925
87,0,3,male,16.0,1,3,34.375,S,Mr,Unknown,0,5,0,4,8.59375
88,0,3,male,26.0,0,0,8.05,S,Mr,Unknown,0,1,1,1,8.05
90,0,3,male,24.0,0,0,8.05,S,Mr,Unknown,0,1,1,1,8.05
91,0,3,male,29.0,0,0,8.05,S,Mr,Unknown,0,1,1,1,8.05
92,0,3,male,20.0,0,0,7.8542,S,Mr,Unknown,0,1,1,1,7.8542
93,0,1,male,46.0,1,0,61.175,S,Mr,E,1,2,0,1,61.175
94,0,3,male,26.0,1,2,20.575,S,Mr,Unknown,0,4,0,2,10.2875
95,0,3,male,59.0,0,0,7.25,S,Mr,Unknown,0,1,1,1,7.25
96,0,3,male,26.0,0,0,8.05,S,Mr,Unknown,0,1,1,1,8.05
97,0,1,male,71.0,0,0,34.6542,C,Mr,A,1,1,1,1,34.6542
98,1,1,male,23.0,0,1,63.3583,C,Mr,D,1,2,0,1,63.3583
99,1,2,female,34.0,0,1,23.0,S,Mrs,Unknown,0,2,0,2,11.5
100,0,2,male,34.0,1,0,26.0,S,Mr,Unknown,0,2,0,2,13.0
101,0,3,female,28.0,0,0,7.8958,S,Miss,Unknown,0,1,1,1,7.8958
102,0,3,male,26.0,0,0,7.8958,S,Mr,Unknown,0,1,1,1,7.8958
103,0,1,male,21.0,0,1,77.2875,S,Mr,D,1,2,0,2,38.64375
104,0,3,male,33.0,0,0,8.6542,S,Mr,Unknown,0,1,1,1,8.6542
105,0,3,male,37.0,2,0,7.925,S,Mr,Unknown,0,3,0,1,7.925
106,0,3,male,28.0,0,0,7.8958,S,Mr,Unknown,0,1,1,1,7.8958
107,1,3,female,21.0,0,0,7.65,S,Miss,Unknown,0,1,1,1,7.65
108,1,3,male,26.0,0,0,7.775,S,Mr,Unknown,0,1,1,1,7.775
109,0,3,male,38.0,0,0,7.8958,S,Mr,Unknown,0,1,1,1,7.8958
110,1,3,female,18.0,1,0,24.15,Q,Miss,Unknown,0,2,0,3,8.049999999999999
111,0,1,male,47.0,0,0,52.0,S,Mr,C,1,1,1,2,26.0
112,0,3,female,14.5,1,0,14.4542,C,Miss,Unknown,0,2,0,2,7.2271
113,0,3,male,22.0,0,0,8.05,S,Mr,Unknown,0,1,1,1,8.05
114,0,3,female,20.0,1,0,9.825,S,Miss,Unknown,0,2,0,1,9.825
115,0,3,female,17.0,0,0,14.4583,C,Miss,Unknown,0,1,1,2,7.22915
116,0,3,male,21.0,0,0,7.925,S,Mr,Unknown,0,1,1,1,7.925
117,0,3,male,70.5,0,0,7.75,Q,Mr,Unknown,0,1,1,1,7.75
118,0,2,male,29.0,1,0,21.0,S,Mr,Unknown,0,2,0,2,10.5
120,0,3,female,2.0,4,2,31.275,S,Miss,Unknown,0,7,0,7,4.4678571428571425
121,0,2,male,21.0,2,0,73.5,S,Mr,Unknown,0,3,0,5,14.7
122,0,3,male,26.0,0,0,8.05,S,Mr,Unknown,0,1,1,1,8.05
123,0,2,male,32.5,1,0,30.0708,C,Mr,Unknown,0,2,0,2,15.0354
124,1,2,female,32.5,0,0,13.0,S,Miss,E,1,1,1,1,13.0
125,0,1,male,54.0,0,1,77.2875,S,Mr,D,1,2,0,2,38.64375
126,1,3,male,12.0,1,0,11.2417,C,Master,Unknown,0,2,0,2,5.62085
127,0,3,male,26.0,0,0,7.75,Q,Mr,Unknown,0,1,1,1,7.75
128,1,3,male,24.0,0,0,7.1417,S,Mr,Unknown,0,1,1,1,7.1417
129,1,3,female,18.0,1,1,22.3583,C,Miss,F,1,3,0,2,11.17915
130,0,3,male,45.0,0,0,6.975,S,Mr,Unknown,0,1,1,1,6.975
131,0,3,male,33.0,0,0,7.8958,C,Mr,Unknown,0,1,1,1,7.8958
132,0,3,male,20.0,0,0,7.05,S,Mr,Unknown,0,1,1,1,7.05
133,0,3,female,47.0,1,0,14.5,S,Mrs,Unknown,0,2,0,1,14.5
134,1,2,female,29.0,1,0,26.0,S,Mrs,Unknown,0,2,0,1,26.0
135,0,2,male,25.0,0,0,13.0,S,Mr,Unknown,0,1,1,1,13.0
136,0,2,male,23.0,0,0,15.0458,C,Mr,Unknown,0,1,1,1,15.0458
137,1,1,female,19.0,0,2,26.2833,S,Miss,D,1,3,0,1,26.2833
138,0,1,male,37.0,1,0,53.1,S,Mr,C,1,2,0,2,26.55
139,0,3,male,16.0,0,0,9.2167,S,Mr,Unknown,0,1,1,2,4.60835
140,0,1,male,24.0,0,0,79.2,C,Mr,B,1,1,1,2,39.6
141,0,3,female,31.0,0,2,15.2458,C,Mrs,Unknown,0,3,0,2,7.6229
142,1,3,female,22.0,0,0,7.75,S,Miss,Unknown,0,1,1,1,7.75
143,1,3,female,24.0,1,0,15.85,S,Mrs,Unknown,0,2,0,2,7.925
144,0,3,male,19.0,0,0,6.75,Q,Mr,Unknown,0,1,1,1,6.75
145,0,2,male,18.0,0,0,11.5,S,Mr,Unknown,0,1,1,1,11.5
146,0,2,male,19.0,1,1,36.75,S,Mr,Unknown,0,3,0,2,18.375
147,1,3,male,27.0,0,0,7.7958,S,Mr,Unknown,0,1,1,1,7.7958
148,0,3,female,9.0,2,2,34.375,S,Miss,Unknown,0,5,0,4,8.59375
149,0,2,male,36.5,0,2,26.0,S,Mr,F,1,3,0,3,8.666666666666666
150,0,2,male,42.0,0,0,13.0,S,Rare,Unknown,0,1,1,1,13.0
151,0,2,male,51.0,0,0,12.525,S,Rare,Unknown,0,1,1,1,12.525
152,1,1,female,22.0,1,0,66.6,S,Mrs,C,1,2,0,2,33.3
153,0,3,male,55.5,0,0,8.05,S,Mr,Unknown,0,1,1,1,8.05
154,0,3,male,40.5,0,2,14.5,S,Mr,Unknown,0,3,0,1,14.5
155,0,3,male,26.0,0,0,7.3125,S,Mr,Unknown,0,1,1,1,7.3125
156,0,1,male,51.0,0,1,61.3792,C,Mr,Unknown,0,2,0,1,61.3792
157,1,3,female,16.0,0,0,7.7333,Q,Miss,Unknown,0,1,1,1,7.7333
158,0,3,male,30.0,0,0,8.05,S,Mr,Unknown,0,1,1,1,8.05
159,0,3,male,26.0,0,0,8.6625,S,Mr,Unknown,0,1,1,1,8.6625
160,0,3,male,4.0,8,2,69.55,S,Master,Unknown,0,11,0,7,9.935714285714285
161,0,3,male,44.0,0,1,16.1,S,Mr,Unknown,0,2,0,1,16.1
162,1,2,female,40.0,0,0,15.75,S,Mrs,Unknown,0,1,1,1,15.75
163,0,3,male,26.0,0,0,7.775,S,Mr,Unknown,0,1,1,1,7.775
164,0,3,male,17.0,0,0,8.6625,S,Mr,Unknown,0,1,1,1,8.6625
165,0,3,male,1.0,4,1,39.6875,S,Master,Unknown,0,6,0,6,6.614583333333333
166,1,3,male,9.0,0,2,20.525,S,Master,Unknown,0,3,0,3,6.841666666666666
167,1,1,female,40.0,0,1,55.0,S,Mrs,E,1,2,0,2,27.5
168,0,3,female,45.0,1,4,27.9,S,Mrs,Unknown,0,6,0,6,4.6499999999999995
169,0,1,male,40.0,0,0,25.925,S,Mr,Unknown,0,1,1,1,25.925
170,0,3,male,28.0,0,0,56.4958,S,Mr,Unknown,0,1,1,7,8.070828571428573
171,0,1,male,61.0,0,0,33.5,S,Mr,B,1,1,1,1,33.5
172,0,3,male,4.0,4,1,29.125,Q,Master,Unknown,0,6,0,5,5.825
173,1,3,female,1.0,1,1,11.1333,S,Miss,Unknown,0,3,0,3,3.7111
174,0,3,male,21.0,0,0,7.925,S,Mr,Unknown,0,1,1,1,7.925
175,0,1,male,56.0,0,0,30.6958,C,Mr,A,1,1,1,1,30.6958
176,0,3,male,18.0,1,1,7.8542,S,Mr,Unknown,0,3,0,1,7.8542
177,0,3,male,4.0,3,1,25.4667,S,Master,Unknown,0,5,0,4,6.366675
178,0,1,female,50.0,0,0,28.7125,C,Miss,C,1,1,1,1,28.7125
179,0,2,male,30.0,0,0,13.0,S,Mr,Unknown,0,1,1,1,13.0
180,0,3,male,36.0,0,0,0.0,S,Mr,Unknown,0,1,1,4,0.0
181,0,3,female,18.0,8,2,69.55,S,Miss,Unknown,0,11,0,7,9.935714285714285
182,0,2,male,31.0,0,0,15.05,C,Mr,Unknown,0,1,1,1,15.05
183,0,3,male,9.0,4,2,31.3875,S,Master,Unknown,0,7,0,4,7.846875
184,1,2,male,1.0,2,1,39.0,S,Master,F,1,4,0,2,19.5
185,1,3,female,4.0,0,2,22.025,S,Miss,Unknown,0,3,0,1,22.025
186,0,1,male,40.0,0,0,50.0,S,Mr,A,1,1,1,1,50.0
187,1,3,female,31.0,1,0,15.5,Q,Mrs,Unknown,0,2,0,2,7.75
188,1,1,male,45.0,0,0,26.55,S,Mr,Unknown,0,1,1,1,26.55
189,0,3,male,40.0,1,1,15.5,Q,Mr,Unknown,0,3,0,2,7.75
190,0,3,male,36.0,0,0,7.8958,S,Mr,Unknown,0,1,1,1,7.8958
191,1,2,female,32.0,0,0,13.0,S,Mrs,Unknown,0,1,1,1,13.0
192,0,2,male,19.0,0,0,13.0,S,Mr,Unknown,0,1,1,1,13.0
193,1,3,female,19.0,1,0,7.8542,S,Miss,Unknown,0,2,0,1,7.8542
194,1,2,male,3.0,1,1,26.0,S,Master,F,1,3,0,3,8.666666666666666
195,1,1,female,44.0,0,0,27.7208,C,Mrs,B,1,1,1,1,27.7208
197,0,3,male,26.0,0,0,7.75,Q,Mr,Unknown,0,1,1,1,7.75
198,0,3,male,42.0,0,1,8.4042,S,Mr,Unknown,0,2,0,1,8.4042
199,1,3,female,18.0,0,0,7.75,Q,Miss,Unknown,0,1,1,1,7.75
200,0,2,female,24.0,0,0,13.0,S,Miss,Unknown,0,1,1,1,13.0
201,0,3,male,28.0,0,0,9.5,S,Mr,Unknown,0,1,1,1,9.5
202,0,3,male,26.0,8,2,69.55,S,Mr,Unknown,0,11,0,7,9.935714285714285
203,0,3,male,34.0,0,0,6.4958,S,Mr,Unknown,0,1,1,1,6.4958
204,0,3,male,45.5,0,0,7.225,C,Mr,Unknown,0,1,1,1,7.225
205,1,3,male,18.0,0,0,8.05,S,Mr,Unknown,0,1,1,1,8.05
206,0,3,female,2.0,0,1,10.4625,S,Miss,G,1,2,0,2,5.23125
207,0,3,male,32.0,1,0,15.85,S,Mr,Unknown,0,2,0,2,7.925
208,1,3,male,26.0,0,0,18.7875,C,Mr,Unknown,0,1,1,2,9.39375
209,1,3,female,16.0,0,0,7.75,Q,Miss,Unknown,0,1,1,1,7.75
210,1,1,male,40.0,0,0,31.0,C,Mr,A,1,1,1,1,31.0
211,0,3,male,24.0,0,0,7.05,S,Mr,Unknown,0,1,1,1,7.05
212,1,2,female,35.0,0,0,21.0,S,Miss,Unknown,0,1,1,1,21.0
213,0,3,male,22.0,0,0,7.25,S,Mr,Unknown,0,1,1,1,7.25
214,0,2,male,30.0,0,0,13.0,S,Mr,Unknown,0,1,1,1,13.0
215,0,3,male,26.0,1,0,7.75,Q,Mr,Unknown,0,2,0,1,7.75
217,1,3,female,27.0,0,0,7.925,S,Miss,Unknown,0,1,1,1,7.925
218,0,2,male,42.0,1,0,27.0,S,Mr,Unknown,0,2,0,2,13.5
219,1,1,female,32.0,0,0,76.2917,C,Miss,D,1,1,1,1,76.2917
220,0,2,male,30.0,0,0,10.5,S,Mr,Unknown,0,1,1,1,10.5
221,1,3,male,16.0,0,0,8.05,S,Mr,Unknown,0,1,1,1,8.05
222,0,2,male,27.0,0,0,13.0,S,Mr,Unknown,0,1,1,1,13.0
223,0,3,male,51.0,0,0,8.05,S,Mr,Unknown,0,1,1,1,8.05
224,0,3,male,26.0,0,0,7.8958,S,Mr,Unknown,0,1,1,1,7.8958
225,1,1,male,38.0,1,0,90.0,S,Mr,C,1,2,0,2,45.0
226,0,3,male,22.0,0,0,9.35,S,Mr,Unknown,0,1,1,1,9.35
227,1,2,male,19.0,0,0,10.5,S,Mr,Unknown,0,1,1,1,10.5
228,0,3,male,20.5,0,0,7.25,S,Mr,Unknown,0,1,1,1,7.25
229,0,2,male,18.0,0,0,13.0,S,Mr,Unknown,0,1,1,1,13.0
230,0,3,female,18.0,3,1,25.4667,S,Miss,Unknown,0,5,0,4,6.366675
231,1,1,female,35.0,1,0,83.475,S,Mrs,C,1,2,0,2,41.7375
232,0,3,male,29.0,0,0,7.775,S,Mr,Unknown,0,1,1,1,7.775
233,0,2,male,59.0,0,0,13.5,S,Mr,Unknown,0,1,1,1,13.5
234,1,3,female,5.0,4,2,31.3875,S,Miss,Unknown,0,7,0,4,7.846875
235,0,2,male,24.0,0,0,10.5,S,Mr,Unknown,0,1,1,1,10.5
236,0,3,female,18.0,0,0,7.55,S,Miss,Unknown,0,1,1,1,7.55
237,0,2,male,44.0,1,0,26.0,S,Mr,Unknown,0,2,0,1,26.0
238,1,2,female,8.0,0,2,26.25,S,Miss,Unknown,0,3,0,3,8.75
239,0,2,male,19.0,0,0,10.5,S,Mr,Unknown,0,1,1,1,10.5
240,0,2,male,33.0,0,0,12.275,S,Mr,Unknown,0,1,1,1,12.275
241,0,3,female,18.0,1,0,14.4542,C,Miss,Unknown,0,2,0,2,7.2271
242,1,3,female,18.0,1,0,15.5,Q,Miss,Unknown,0,2,0,2,7.75
243,0,2,male,29.0,0,0,10.5,S,Mr,Unknown,0,1,1,1,10.5
244,0,3,male,22.0,0,0,7.125,S,Mr,Unknown,0,1,1,1,7.125
245,0,3,male,30.0,0,0,7.225,C,Mr,Unknown,0,1,1,1,7.225
246,0,1,male,44.0,2,0,90.0,Q,Rare,C,1,3,0,2,45.0
247,0,3,female,25.0,0,0,7.775,S,Miss,Unknown,0,1,1,1,7.775
248,1,2,female,24.0,0,2,14.5,S,Mrs,Unknown,0,3,0,2,7.25
249,1,1,male,37.0,1,1,52.5542,S,Mr,D,1,3,0,2,26.2771
250,0,2,male,54.0,1,0,26.0,S,Rare,Unknown,0,2,0,2,13.0
251,0,3,male,26.0,0,0,7.25,S,Mr,Unknown,0,1,1,1,7.25
252,0,3,female,29.0,1,1,10.4625,S,Mrs,G,1,3,0,2,5.23125
253,0,1,male,62.0,0,0,26.55,S,Mr,C,1,1,1,1,26.55
254,0,3,male,30.0,1,0,16.1,S,Mr,Unknown,0,2,0,2,8.05
255,0,3,female,41.0,0,2,20.2125,S,Mrs,Unknown,0,3,0,2,10.10625
256,1,3,female,29.0,0,2,15.2458,C,Mrs,Unknown,0,3,0,1,15.2458
257,1,1,female,40.0,0,0,79.2,C,Mrs,Unknown,0,1,1,1,79.2
258,1,1,female,30.0,0,0,86.5,S,Miss,B,1,1,1,3,28.833333333333332
260,1,2,female,50.0,0,1,26.0,S,Mrs,Unknown,0,2,0,2,13.0
261,0,3,male,26.0,0,0,7.75,Q,Mr,Unknown,0,1,1,1,7.75
262,1,3,male,3.0,4,2,31.3875,S,Master,Unknown,0,7,0,4,7.846875
263,0,1,male,52.0,1,1,79.65,S,Mr,E,1,3,0,3,26.55
264,0,1,male,40.0,0,0,0.0,S,Mr,B,1,1,1,1,0.0
265,0,3,female,18.0,0,0,7.75,Q,Miss,Unknown,0,1,1,1,7.75
266,0,2,male,36.0,0,0,10.5,S,Mr,Unknown,0,1,1,1,10.5
267,0,3,male,16.0,4,1,39.6875,S,Mr,Unknown,0,6,0,6,6.614583333333333
268,1,3,male,25.0,1,0,7.775,S,Mr,Unknown,0,2,0,1,7.775
271,0,1,male,40.0,0,0,31.0,S,Mr,Unknown,0,1,1,2,15.5
272,1,3,male,25.0,0,0,0.0,S,Mr,Unknown,0,1,1,4,0.0
273,1,2,female,41.0,0,1,19.5,S,Mrs,Unknown,0,2,0,2,9.75
274,0,1,male,37.0,0,1,29.7,C,Mr,C,1,2,0,1,29.7
275,1,3,female,18.0,0,0,7.75,Q,Miss,Unknown,0,1,1,1,7.75
276,1,1,female,63.0,1,0,77.9583,S,Miss,D,1,2,0,3,25.986099999999997
277,0,3,female,45.0,0,0,7.75,S,Miss,Unknown,0,1,1,1,7.75
278,0,2,male,31.0,0,0,0.0,S,Mr,Unknown,0,1,1,3,0.0
279,0,3,male,7.0,4,1,29.125,Q,Master,Unknown,0,6,0,5,5.825
280,1,3,female,35.0,1,1,20.25,S,Mrs,Unknown,0,3,0,2,10.125
281,0,3,male,65.0,0,0,7.75,Q,Mr,Unknown,0,1,1,1,7.75
282,0,3,male,28.0,0,0,7.8542,S,Mr,Unknown,0,1,1,1,7.8542
283,0,3,male,16.0,0,0,9.5,S,Mr,Unknown,0,1,1,1,9.5
284,1,3,male,19.0,0,0,8.05,S,Mr,Unknown,0,1,1,1,8.05
285,0,1,male,40.0,0,0,26.0,S,Mr,A,1,1,1,1,26.0
286,0,3,male,33.0,0,0,8.6625,C,Mr,Unknown,0,1,1,1,8.6625
287,1,3,male,30.0,0,0,9.5,S,Mr,Unknown,0,1,1,1,9.5
288,0,3,male,22.0,0,0,7.8958,S,Mr,Unknown,0,1,1,1,7.8958
289,1,2,male,42.0,0,0,13.0,S,Mr,Unknown,0,1,1,1,13.0
290,1,3,female,22.0,0,0,7.75,Q,Miss,Unknown,0,1,1,1,7.75
291,1,1,female,26.0,0,0,78.85,S,Miss,Unknown,0,1,1,2,39.425
292,1,1,female,19.0,1,0,91.0792,C,Mrs,B,1,2,0,2,45.5396
293,0,2,male,36.0,0,0,12.875,C,Mr,D,1,1,1,1,12.875
294,0,3,female,24.0,0,0,8.85,S,Miss,Unknown,0,1,1,1,8.85
295,0,3,male,24.0,0,0,7.8958,S,Mr,Unknown,0,1,1,1,7.8958
296,0,1,male,40.0,0,0,27.7208,C,Mr,Unknown,0,1,1,1,27.7208
297,0,3,male,23.5,0,0,7.2292,C,Mr,Unknown,0,1,1,1,7.2292
299,1,1,male,40.0,0,0,30.5,S,Mr,C,1,1,1,1,30.5
301,1,3,female,18.0,0,0,7.75,Q,Miss,Unknown,0,1,1,1,7.75
302,1,3,male,26.0,2,0,23.25,Q,Mr,Unknown,0,3,0,2,11.625
303,0,3,male,19.0,0,0,0.0,S,Mr,Unknown,0,1,1,4,0.0
304,1,2,female,24.0,0,0,12.35,Q,Miss,E,1,1,1,1,12.35
305,0,3,male,26.0,0,0,8.05,S,Mr,Unknown,0,1,1,1,8.05
309,0,2,male,30.0,1,0,24.0,C,Mr,Unknown,0,2,0,2,12.0
310,1,1,female,30.0,0,0,56.9292,C,Miss,E,1,1,1,2,28.4646
311,1,1,female,24.0,0,0,83.1583,C,Miss,C,1,1,1,2,41.57915
313,0,2,female,26.0,1,1,26.0,S,Mrs,Unknown,0,3,0,1,26.0
314,0,3,male,28.0,0,0,7.8958,S,Mr,Unknown,0,1,1,1,7.8958
315,0,2,male,43.0,1,1,26.25,S,Mr,Unknown,0,3,0,3,8.75
316,1,3,female,26.0,0,0,7.8542,S,Miss,Unknown,0,1,1,1,7.8542
317,1,2,female,24.0,1,0,26.0,S,Mrs,Unknown,0,2,0,2,13.0
318,0,2,male,54.0,0,0,14.0,S,Rare,Unknown,0,1,1,1,14.0
321,0,3,male,22.0,0,0,7.25,S,Mr,Unknown,0,1,1,1,7.25
322,0,3,male,27.0,0,0,7.8958,S,Mr,Unknown,0,1,1,1,7.8958
323,1,2,female,30.0,0,0,12.35,Q,Miss,Unknown,0,1,1,1,12.35
324,1,2,female,22.0,1,1,29.0,S,Mrs,Unknown,0,3,0,2,14.5
325,0,3,male,26.0,8,2,69.55,S,Mr,Unknown,0,11,0,7,9.935714285714285
327,0,3,male,61.0,0,0,6.2375,S,Mr,Unknown,0,1,1,1,6.2375
328,1,2,female,36.0,0,0,13.0,S,Mrs,D,1,1,1,1,13.0
329,1,3,female,31.0,1,1,20.525,S,Mrs,Unknown,0,3,0,3,6.841666666666666
330,1,1,female,16.0,0,1,57.9792,C,Miss,B,1,2,0,2,28.9896
331,1,3,female,18.0,2,0,23.25,Q,Miss,Unknown,0,3,0,2,11.625
332,0,1,male,45.5,0,0,28.5,S,Mr,C,1,1,1,1,28.5
334,0,3,male,16.0,2,0,18.0,S,Mr,Unknown,0,3,0,2,9.0
336,0,3,male,26.0,0,0,7.8958,S,Mr,Unknown,0,1,1,1,7.8958
337,0,1,male,29.0,1,0,66.6,S,Mr,C,1,2,0,2,33.3
